Bài,生词,Pinyin,描述,意义,例如,复习,检查
Bài 1,伶俐,#NAME?,,thông minh,隔壁王阿姨家的女儿口齿伶俐，长得也很可爱。,伶俐,TRUE
Bài 1,挑剔,#NAME?,,kén chọn,妈妈做饭很辛苦，我们在吃饭时从来不挑剔。,挑剔,TRUE
Bài 1,挑拨,#NAME?,,chơi tiếp,那位“绿茶”妹妹总是在男主面前说女主的坏话，想挑拨他们之间的关系。,挑拨,TRUE
Bài 1,气质,#NAME?,,tính khí,妈妈年轻时学过跳舞，直到现在身上还有一种优雅的气质。,气质,TRUE
Bài 1,容貌,#NAME?,,vẻ bề ngoài,随着岁月流逝，父母的容貌变老了，但他们对我的爱从未改变。,容貌,TRUE
Bài 1,福气,#NAME?,,Chúc may mắn,我妈妈做饭特别好吃，大家都说我爸娶到我妈真是有福气。,福气,TRUE
Bài 1,嫉妒,#NAME?,,ghen tỵ,你没必要嫉妒他的成功，只要你足够努力，总有一天你也能做到。,嫉妒,TRUE
Bài 1,忽略,#NAME?,,sao nhãng,工作很重要，但是不要为了工作而忽略自己的身体健康。（忽略 + người / cảm giác của ai đó）,忽略,TRUE
Bài 1,维持关系,#NAME?,,Duy trì mối quan hệ,（wei zhi guanxi -> 维持关系：Duy trì mối quan hệ）,维持关系,TRUE
Bài 1,附和,#NAME?,,đi theo,"（附和：Hùa theo, phụ họa）",附和,TRUE
Bài 1,大为吃惊,#NAME?,,Vô cùng ngạc nhiên,（大为吃惊：Hết sức ngạc nhiên / 大不如前：Không còn được như trước / 不大合得来：Không hợp nhau cho lắm）,大为吃惊,TRUE
Bài 1,大不如前,#NAME?,,Không tốt như trước đây,（别人：Người khác）,大不如前,TRUE
Bài 1,不大合得来,#NAME?,,Không tương thích lắm,"（宽容：Bao dung / 和睦：Hòa thuận / 绅士：Ga-lăng, quý ông）",不大合得来,TRUE
Bài 1,别人,#NAME?,,những người khác,,别人,TRUE
Bài 1,宽容,#NAME?,,khoan dung,,宽容,TRUE
Bài 1,和睦,#NAME?,,hòa hợp,,和睦,TRUE
Bài 1,绅士,#NAME?,,quý ông,,绅士,TRUE
Bài 1,反驳,#NAME?,,bác bỏ,他的要求太不合理了，家里的事情怎么可能让我一个人做完，所以我当然反驳了他。,反驳,TRUE
Bài 1,意识,#NAME?,,ý thức,以前总觉得年轻身体好，最近常熬夜才意识到，健康真是一点都折腾不起。,意识,TRUE
Bài 1,实行,#NAME?,,Triển khai,我打算从今天开始，严格实行每晚看书半小时的计划。,实行,TRUE
Bài 1,严厉,#NAME?,,nghiêm trọng,别看我爸平时总是一副很严厉的样子，其实他心里比谁都心疼我。,严厉,TRUE
Bài 1,反问,#NAME?,,câu hỏi tu từ,我问他去哪，他反问我管得着吗？ / 别总用反问句跟我说话，听着心烦。,反问,TRUE
Bài 1,瞬间,#NAME?,,chốc lát,看到他的那一瞬间，我突然不生气了。 / 听了这句话，我瞬间哭了出来。,瞬间,TRUE
Bài 1,启蒙,#NAME?,,Thời kỳ Khai sáng,刘亦菲是我的电影启蒙。（liuyifei 是我的 dianying 启蒙）,启蒙,TRUE
Bài 1,任,#NAME?,,bổ nhiệm,他是我们的第一任经理。,任,TRUE
Bài 1,约束,#NAME?,,ràng buộc,"（约束：Ràng buộc, gò bó）",约束,TRUE
Bài 1,滔滔不绝,#NAME?,,Nói nhiều,他一喝酒就喜欢滔滔不绝。,滔滔不绝,TRUE
Bài 1,鸦雀无声,#NAME?,,Im lặng,半夜的街道上鸦雀无声。,鸦雀无声,TRUE
Bài 2,和蔼,#NAME?,,hòa nhã,我奶奶对人特别和蔼，邻居们都很喜欢她。,,FALSE
Bài 2,和气,#NAME?,,Hòa hợp,我们一家人说话总是客客气气的，日子过得很和气。,,FALSE
Bài 2,目光,#NAME?,,Ánh mắt,你喜欢什么衣服就穿什么，不要在意别人的目光。,,FALSE
Bài 2,慈祥,#NAME?,,vui lòng,看到妈妈慈祥的目光，我心里的压力顿时消失了。,,FALSE
Bài 2,跨,#NAME?,,Đi qua,前面有一条小沟，你大步跨过去就行。,,FALSE
Bài 2,自主,#NAME?,,Tự chủ,选什么专业，由你自主决定。 / 请顾客自主取餐，谢绝浪费。,,FALSE
Bài 2,甭,#NAME?,,"Không cần, không phải",你甭哭，这次没考好下次再努力。 / 老板现在正在气头上，你甭去解释。,,FALSE
Bài 2,包围,#NAME?,,Âm thanh vòm,他从小都被家庭的爱包围着。,,FALSE
Bài 2,感染,#NAME?,,Nhiễm trùng,这部电影深深地感染了我。,,FALSE
Bài 2,恨不得,#NAME?,,Tôi ước,我恨不得马上拆开这个礼物。 / 队伍太长了，我恨不得不买了。,,FALSE
Bài 2,跟前,#NAME?,,trước mặt,橡皮就在你跟前，你怎么看不见？,,FALSE
Bài 2,团圆,#NAME?,,đoàn tụ,全家人围坐在一起吃团圆饭。,,FALSE
Bài 2,近来,#NAME?,,gần đây,近来金价上涨得厉害。,,FALSE
Bài 2,宠,#NAME?,,Thú cưng,宠爱、宠儿、得宠、失宠、受宠若惊,,FALSE
Bài 2,染,#NAME?,,thuốc nhuộm,染色素、染色、染病、一尘不染,,FALSE
Bài 2,恋,#NAME?,,yêu,恋家、恋恋不舍、留恋、迷恋、恋爱,,FALSE
Bài 2,隐瞒,#NAME?,,trốn,为了不让父母担心，我隐瞒了自己的消息。 / 夫妻之间应该坦诚，不应该有所隐瞒。,,FALSE
Bài 2,唠叨,#NAME?,,cằn nhằn,经理整天在耳边唠叨目标，压力太大了。 / 我妈总是在我耳边唠叨。都快三十了，赶紧嫁人吧！,,FALSE
Bài 2,吃苦,#NAME?,,Chịu đựng gian khổ,应该让孩子适当吃点苦，才能学会珍惜。,,FALSE
Bài 2,先苦后甜,#NAME?,,Đắng trước ngọt,先苦后甜,,FALSE
Bài 2,欣慰,#NAME?,,Cảm thấy nhẹ nhõm,孩子的微笑是父母最感到欣慰的事。,,FALSE
Bài 2,本事,#NAME?,,khả năng,能在这么短时间内解决这个问题，他真有本事。,,FALSE
Bài 2,皱纹,#NAME?,,nếp nhăn,她最近买了很多抗衰老护肤品，想减少眼角的皱纹。,,FALSE
Bài 2,顿时,#NAME?,,Ngay lập tức,听到我妹妹考上大学的消息，全家顿时欢呼起来。,,FALSE
Bài 2,酝酿,#NAME?,,ủ bia,从小我在心里正在酝酿去世界各地旅游的梦想。,,FALSE
Bài 2,刹那,#NAME?,,chốc lát,眼神交汇的刹那，她认出了他在撒谎。,,FALSE
Bài 2,反常,#NAME?,,bất thường,他今天情绪很反常，一整天都没说话。,,FALSE
Bài 2,埋怨,#NAME?,,Phàn nàn,事情已经发生了，互相埋怨也没有用，赶快想办法解决这个问题吧。,,FALSE
Bài 2,体谅,#NAME?,,Hiểu biết,长大了才能体谅父母挣钱的不容易。 / 下这么大雨，外卖迟到可以体谅。,,FALSE
Bài 2,规划,#NAME?,,lập kế hoạch,我们需要好好规划一下未来的旅游。,,FALSE
Bài 2,谅,#NAME?,,Hiểu biết,,,FALSE
Bài 2,埋,#NAME?,,Chôn,,,FALSE
Bài 2,熬,#NAME?,,đun sôi,为了赶在明天前交付项目，他昨晚熬了个通宵。,,FALSE
Bài 2,漫长,#NAME?,,Dài,经过漫长的等待，他终于成功了。,,FALSE
Bài 2,寂静,#NAME?,,im lặng,假期结束后，大家都忙着返回工作岗位，只留下父母在寂静的屋子里。,,FALSE
Bài 2,难得,#NAME?,,hiếm,难得你有空，我们去喝一杯吧！,,FALSE
Bài 2,心疼,#NAME?,,Nỗi đau lòng,刚买的新手机就摔坏了，真让人心疼。,,FALSE
Bài 2,掩饰,#NAME?,,che đậy,他撒谎是为了掩饰自己的错误。,,FALSE
Bài 2,无比,#NAME?,,Vô song,在国外旅游时，每当看到越南餐馆，我都感到无比欣喜。,,FALSE
Bài 2,向往,#NAME?,,Khao khát,我一直很向往财务自由的生活。,,FALSE
Bài 2,不由得,#NAME?,,Không tự nguyện,看到照片，她不由得想起了过去的时光。,,FALSE
Bài 2,热泪盈眶,#NAME?,,Nước mắt tôi trào ra.,这部电影太感人了，观众们都看得热泪盈眶。,,FALSE
Bài 2,寂寞,#NAME?,,cô đơn,寂寞 (người)、寂静 (không gian)、死寂 (đáng sợ)、孤寂 (vừa cô đơn vừa yên tĩnh)、万籁俱寂,,FALSE
Bài 2,死寂,#NAME?,,Sự im lặng chết người,在很多电视剧里，那些恋爱脑的女主角总是因为家人反对她和渣男恋爱，就执意要脱离家庭关系。,,FALSE
Bài 2,孤寂,#NAME?,,Sự cô đơn,,,FALSE
Bài 2,万籁俱寂,#NAME?,,Tất cả đều im lặng.,,,FALSE
Bài 2,脱离,#NAME?,,tách ra,,,FALSE
Bài 2,诱惑,#NAME?,,mồi nhử,面对金钱的诱惑，他依然选择维护公道。,,FALSE
Bài 2,孤独,#NAME?,,Cô đơn,如果这一辈子都不结婚，到晚年你就不怕孤独吗？,,FALSE
Bài 2,哭鼻子,#NAME?,,Khóc,别哭鼻子了，带你去吃好吃的。,,FALSE
Bài 2,片刻,#NAME?,,chốc lát,请稍候片刻。对不起，您拨打的电话暂时无法接通，请稍后再拨。,,FALSE
Bài 2,步伐,#NAME?,,nhịp độ,从她紧凑的步伐中可以看出，事情非常紧急。,,FALSE
Bài 2,稿件,#NAME?,,Bản thảo,因为时间太赶，这份稿件里还有不少错别字。,,FALSE
Bài 2,诱,#NAME?,,Sự cám dỗ,诱人、诱导、诱发、诱惑、诱骗、引诱,,FALSE
Bài 2,惑,#NAME?,,Bối rối,蛊惑、妖言惑众、迷惑、疑惑、诱惑,,FALSE
Bài 3,月饼,#NAME?,中秋节赏月时吃的一种传统圆形饼食。,bánh trung thu,每年中秋节，全家人都会一起吃月饼。 // 这家店的冰皮月饼卖得特别好。,,FALSE
Bài 3,清晨,#NAME?,6-7h 天刚亮的时候，指日出前后的一段时间 》 早上， 凌晨 ,sáng sớm,他每天清晨六点准时起床去跑步。 // 清晨的空气非常清新，让人心情舒畅。,,FALSE
Bài 3,迎面,#NAME?,正面迎着（走过来的人、风或物等）。,Đối diện,迎面走来了一位热情的老朋友。 // 迎面吹来的凉风打断了他的思绪。,,FALSE
Bài 3,模样,#NAME?,人的长相、外形，状态，展现出来的样子。长得,vẻ bề ngoài,几年不见，他的模样真是一点没变。 // 看这孩子的模样，长大后一定很帅气。,,FALSE
Bài 3,打量,#NAME?,仔细地察看（从头到脚，什么样的人）。,quan sát,保安上下打量了那个陌生人很久。 // 妈妈仔细打量着儿子带回来的女朋友。,,FALSE
Bài 3,番,#NAME?,表示次数或过程。更长更认真,"lượt, lần",听了老师的一番话，他顿时明白了。 // 经过一番激烈的争论，大家终于达成了共识。,,FALSE
Bài 3,搓,#NAME?,两个手掌反复揉动或把手掌放在别的东西上揉。,"xoa, vò",天气太冷了，他不停地用双手搓脸。 // 奶奶一边搓着衣服，一边和邻居聊天。,,FALSE
Bài 3,饱经沧桑,#NAME?,外貌/青神被经历过很多事情/困难,bị bào mòn bởi thời gian,老人那饱经沧桑的脸上满是皱纹。 // 这座古老的城市饱经沧桑，见证了无数历史。,,FALSE
Bài 3,迟疑,#NAME?,拿不定主意，犹豫不决。不知道怎么做,do dự,面对这个艰难的选择，他迟疑了很久。 // 看到交警过来，那个司机神色迟疑地停下了车。,,FALSE
Bài 3,拜托,#NAME?,客气话，请帮助,xin nhơ gì đó,这件事就拜托您帮我打听一下了。 // 我有急事要出一趟远门，家里的猫就拜托你了。,,FALSE
Bài 3,流露,#NAME?,（意思、感情等）自然地表现出来。,bộc lộ,他的眼神里流露出难以掩饰的喜悦。 // 这首诗里流露出作者对故乡的深深思念。,,FALSE
Bài 3,朴实,#NAME?,性格： 诚实  //   衣服： 简单。,"thật thà, chất phác",这个农村小伙子为人非常朴实。 // 他的文章语言朴实，却非常感人。,,FALSE
Bài 3,过于,#NAME?,不好 - 过分。。。,quá ...,这种款式过于陈旧，不太适合年轻人。 // 你对他的要求过于严格，他会吃不消的。,,FALSE
Bài 3,操劳,#NAME?,辛苦地耗费精力去计划和辛勤工作。,công việc chăm chỉ,父母为了供我上学，整日辛苦操劳。 // 奶奶为这个家操劳了一辈子，现在该好好享福了。,,FALSE
Bài 3,胡须,#NAME?,男子下颌、面颊和上唇生长的毛发。,râu ,他的下巴上长满了浓密的胡须。 // 那个留着长胡须的老人看起来像个艺术家。,,FALSE
Bài 3,起码,#NAME?,最低限度的，至少（表程度或数量的底线）。,ít nhất,这点小事，你起码也该跟我说一声。 // 想要通过这次考试，你起码得复习两遍。,,FALSE
Bài 3,口音,#NAME?,通过声音发现从地方的人， 农村vs城市,giọng,虽然他住在北京，但说话还带点南方口音。 // 听他的口音，应该是个四川人。,,FALSE
Bài 3,乡镇,#NAME?,较小的行政区域，通常指农村行政建制。,Các thị trấn,这里的乡镇这几年发展得非常快。 // 假期的时候，他喜欢去清静的乡镇度假。,,FALSE
Bài 3,原先,#NAME?,从前，最初的时候（指过去的情况）。,"ban đầu, trước đây",我原先以为他不会来，没想到他到了。 // 这栋大楼的原先设计并不是这样的。,,FALSE
Bài 3,裁缝,#NAME?,做衣服的职业或指替人缝制衣服的工人。,thợ may,这件西装是找老裁缝专门量身定制的。 // 随着成衣的发展，现在的裁缝店越来越少了。,,FALSE
Bài 3,港口,#NAME?,有避风防浪设施、供船舶停泊的岸边区域。,cảng,巨大的货轮缓缓驶入了繁忙的港口。 // 那个古老的港口现在已经变成了旅游景点。,,FALSE
Bài 3,斯文,#NAME?,有礼貌、有读书。,lịch sự,他说话慢条斯理的，举止非常斯文。 // 别看他表面上戴个眼镜很斯文，其实脾气大得很。,,FALSE
Bài 3,心眼儿,#NAME?,指人的心地、心计或气量。,"lòng, bụng dạ",她人很好，没有那么多坏心眼儿。 // 别跟他耍心眼儿，他一眼就能看穿。,,FALSE
Bài 3,信誉,#NAME?,诚实守信的名誉和声望。信任,Danh tiếng,这家百年老店在市场上很有信誉。 // 一个人如果失去了信誉，就很难在社会上立足。,,FALSE
Bài 3,欺骗,#NAME?,用虚假的话或手段掩盖真相，使人上当。,lừa gạt,商业宣传中绝对不能有欺骗消费者的行为。 // 他因为欺骗朋友而感到十分内疚。,,FALSE
Bài 3,学位,#NAME?,衡量一个人学术水平的称号（如学士、硕士、博士）。,học vị,经过四年的努力，他终于拿到了学士学位。 // 博士学位是目前高等教育中最高级别的学位。,,FALSE
Bài 3,一流,#NAME?,级别最高、质量或能力最好的。最好,Hạng nhất,这家大学拥有国内一流的师资力量。 // 这家酒店的服务和设施绝对是一流的。,,FALSE
Bài 3,骨干,#NAME?,主要/重要的人,xương sống,他现在是公司研发部门的技术骨干。 // 学校挑选了一批年轻老师作为未来的教学骨干。,,FALSE
Bài 3,拨,#NAME?,打电话 // 开,quay số gọi điện thoại,政府已经拨了一笔专款用于学校建设。 // 经理从其他部门拨了三个人过来帮忙。,,FALSE
Bài 3,仍旧,#NAME?,没有发生变化,Vẫn,尽管过了很多年，他仍旧保持着看书的习惯。 // 虽然遇到了很多困难，但他的想法仍旧没有改变。,,FALSE
Bài 3,隐约,#NAME?,看起来或听起来不很清楚，感觉不明显。,lờ mờ,雾太大了，只能隐约看到远处山峰的轮廓。 // 睡梦中，她隐约听到了敲门的声音。,,FALSE
Bài 3,辜负,#NAME?,对不起别人的好意、期望或信任。,phụ lòng,我一定要好好努力，绝不辜负父母的期望。 // 他的表现太令人失望了，完全辜负了大家的信任。,,FALSE
Bài 3,期望,#NAME?,长辈给期望,trông chờ,老师对这批学生寄予了高期望。 // 父母对孩子的期望太高，往往会给孩子带来压力。,,FALSE
Bài 3,浑身,#NAME?,指人，从头到脚的整个身体。,toàn thân,刚运动完，他浑身都是汗。 // 听完那个恐怖故事，他吓得浑身发抖。,,FALSE
Bài 3,惦记,#NAME?,心里想某件事 / 人,Nghĩ về,妈妈在家里总是惦记着在外读书的儿子。 // 别总惦记着工作，周末好好放松一下吧。,,FALSE
Bài 3,丢人,#NAME?,丢脸，没有脸,mất mặt,在公共场合大吵大闹是一件很丢人的事。 // 他觉得考了最后一名在同学面前很丢人。,,FALSE
Bài 3,炫耀,#NAME?,故意让人羡慕，展示自己的长处或财富给别人看。,khoe khoang,他很低调，从来不向别人炫耀自己的成绩。 // 她一买了新包就忍不住发朋友圈炫耀。,,FALSE
Bài 3,小心翼翼,#NAME?,非常小心,thận trọng,母亲小心翼翼地抱着刚出生的婴儿。 // 护士小心翼翼地把药水注入到试管中。,,FALSE
Bài 3,面子,#NAME?,个人在别人际的样子、尊严。,khuôn mặt,中国人常说，在人际交往中要给足对方面子。 // 他为了顾全自己的面子，故意撒了谎。,,FALSE
Bài 3,主管,#NAME?,主要管一个部门/群人,giám đốc,他是这个项目的总主管，所有事都要找他确认。 // 财务主管正在认真地核对上个月的账目。,,FALSE
Bài 3,助手,#NAME?,帮助的人,trợ lý,经理最近工作太忙，公司给他配了一名助手。 // 实验课上，同学们都成了教授的得力助手。,,FALSE
Bài 3,喜悦,#NAME?,内心非常高兴、愉快。,vui sướng,听到获奖的消息，他的脸上露出了喜悦的笑容。 // 新年将至，大街小巷都洋溢着节日的喜悦。,,FALSE
Bài 3,馅儿,#NAME?,包在面皮里面的肉、菜等食物。,nhân bánh,这种北方饺子的馅儿很大，皮薄肉多。 // 妈妈今天准备做红豆馅儿的包子。,,FALSE
Bài 3,灿烂,#NAME?,太阳光,"rực rỡ, tỏa sáng",阳光洒在海面上，波光粼粼，十分灿烂。 // 孩子们在草地上奔跑，脸上挂着灿烂的笑容。,,FALSE
Bài 4,厌倦,#NAME?,做太多了，感到没有意思，甚至讨厌,Chán,毕业后他突然对城市生活感到厌倦。 // 做这份工作久了，我有点厌倦了。,,FALSE
Bài 4,厌恶,#NAME?,特别对某人或某事产生极其反感、讨厌和恶心的情绪,chán ghét,我非常厌恶那些不守信用的人。 // 看到他的态度，她掩饰不住内心的厌恶。,,FALSE
Bài 4,倘若,#NAME?,假如 。。。,nếu như,倘若明天地下雨，运动会将推迟。 // 倘若有机会重来，我一定会好好珍惜。,,FALSE
Bài 4,发觉,#NAME?,开始注意到或者察觉到某种不容易被发现的变化,phát hiện,直到今天我才发觉她瘦了很多。 // 他突然发觉大家都在看着自己。,,FALSE
Bài 4,承诺,#NAME?,答应别人一件事,hứa,既然承诺了别人，就一定要做到。 // 公司承诺会按时完成项目。,,FALSE
Bài 4,实施,#NAME?,把已经定好的计划、法令或政策拿到实际中去做到,Triển khai,这个计划将从下个月开始实施。 // 新措施已经得到了有效实施。,,FALSE
Bài 4,乘 ,#NAME?,利用有利的时间、机会，或者坐、搭乘交通工具,lấy ,乘着年轻，要好好学习。 // 乘他不注意，她便离开了。,,FALSE
Bài 4,喘气,#NAME?,由于累或急促而大口大口地呼吸，或者短暂休息,quần,一口气跑上五楼，累得我直喘气。 // 工作太忙了，连喘气的功夫都没有。,,FALSE
Bài 4,饶恕,#NAME?,原谅犯了严重错误或罪过的人，不再计较和惩罚,tha thứ,请饶恕我这次的错误。 // 这种背叛的行为绝不能饶恕。,,FALSE
Bài 4,强迫·,#NAME?,必须做一个某事情,bắt buộc,不要强迫别人做不喜欢的事。 // 我被父母强迫去相亲。,,FALSE
Bài 4,蔑视,#NAME?,看不起别人，不重视人,khinh miệt,我们不能蔑视任何人。 // 他那蔑视的目光让我很不舒服。,,FALSE
Bài 4,不料,#NAME?,没想到突然发生什么事情,bất ngờ,我正想去找他，不料他自己来了。 // 天气正晴朗，不料突然下起了大雨。,,FALSE
Bài 4,草率,#NAME?,没思考，快做决定,vội vàng,结婚是一辈子的事，不能草率。 // 他做决定太草率了，所以才出了差错。,,FALSE
Bài 4,猛烈,#NAME?,力量非常大，强，或者程度很厉害,hung bạo,暴风雨在夜里猛烈地发作。 // 比赛进行得非常猛烈。,,FALSE
Bài 4,眼光,#NAME?,判断能力、看事情的能力,ánh mắt,他的眼光里充满了自信。 // 她很有眼光，挑的衣服都很漂亮。,,FALSE
Bài 4,盯,#NAME?,一直地看着，一动也不动地注视着,nhìn chằm chằm,别总是盯人看，这样很不礼貌。 // 小狗紧紧盯着桌上的肉。,,FALSE
Bài 4,愤怒,#NAME?,很生气， 比较大， 太严重,sự tức giận,他的行为激怒了所有人，令大家无比愤怒。 // 她努力压制住内心的愤怒。,,FALSE
Bài 4,愚蠢,#NAME?,智力低下，非常不聪明，做出不该做的傻事,"ngu xuẩn, ngu đần",这样做是一个非常愚蠢的决定。 // 别再问这种愚蠢的问题了。,,FALSE
Bài 4,家伙,#NAME?,对好朋友，小孩子，动物， 工作的工具,chàng trai,这个家伙真让人头疼。 // 这个小家伙太可爱了。,,FALSE
Bài 4,可恶,#NAME?,让人心里非常讨厌，非常可恨,đáng ghét,这天气真可恶，总是下雨。 // 骗子是最可恶的。,,FALSE
Bài 4,耍,#NAME?,骗人， 故意开玩笑让人对联,Chơi,别在我面前耍花招了。 // 他又在耍小孩子脾气了。,,FALSE
Bài 4,对抗,#NAME?,"双方或者两股力量为了不服从对方而进行斗争, 面对",đối đầu,两队在球场上激烈对抗。 // 逃避没有用，你要学会对抗困难。,,FALSE
Bài 4,尝试,#NAME?,为了看结果如何而第一次去试着做某事,thử,即使失败，你也应该勇敢尝试一次。 // 这是一个值得尝试的新方法。,,FALSE
Bài 4,盲目,#NAME?,眼睛看不见，或者做事情没有目的、没有方向,mù quáng,不要盲目跟风，要选择适合自己的。 // 盲目投资会导致巨大的损失。,,FALSE
Bài 4,流氓,#NAME?,不尊重女性，别人,lưu mang,在路上遇到流氓要立刻报警。 // 别跟我耍流氓。,,FALSE
Bài 4,扁,#NAME?,物体被压平了,"dẹp, đề bẹp xuống",这个纸盒已经被压扁了。 // 这种狗的鼻子长得扁扁的。,,FALSE
Bài 4,恰巧,#NAME?,刚刚好，太巧了,đúng lúc,今天出门我恰巧碰见了高中同学。 // 我去找她时，她恰巧也正想出门。,,FALSE
Bài 4,夕阳,#NAME?,傍晚快要落山时的太阳,Hoàng hôn,夕阳红遍了半边天。 // 在夕阳下散步真是太浪漫了。,,FALSE
Bài 4,留神,#NAME?,小心做错了什么,Hãy cẩn thận,走路的时候多留神车辆。 // 一不留神就做错了。,,FALSE
Bài 4,打猎,#NAME?,去山找动物来食物,săn bắn,这个地区的居民以打猎为生。 // 打猎野生动物是违法行为。,,FALSE
Bài 4,摆脱,#NAME?,努力离开不好的事， 各种困难的生活,thoát khỏi,他很想摆脱目前的困境。 // 后面的车怎么也摆脱不掉。,,FALSE
Bài 4,毫无,#NAME?,一点点也没有，完全不存在,không có gì hết,他对此事毫无所知。 // 这个解释毫无意义。,,FALSE
Bài 4,耗费,#NAME?,"花费, 用的东西非常多",Chi tiêu,这个项目耗费了大量的人力和物力。 // 别把时间耗费在无意义的事上。,,FALSE
Bài 4,不顾,#NAME?,不听， 什么都不管,bấp chấp,他不顾家人的反对执意出国留学。 // 消防员不顾危险冲进火海救人。,,FALSE
Bài 4,挣扎,#NAME?,用力战胜，用力地摆脱困难,vùng vẫy,落网的鱼正在拼命挣扎。 // 他仍在贫困中挣扎。,,FALSE
Bài 4,悲惨,#NAME?,非常可怜，让人看了心里很难过,bi thảm,他们一家的遭遇非常悲惨。 // 这场车祸造成了悲惨的后果。,,FALSE
Bài 4,未免,#NAME?,有点什么了,"có hơi, có chút",你这么说未免太过分了。 // 为了这点小事生气，未免太不值得了。,,FALSE
Bài 4,残忍,#NAME?,伤害别人，感到非常难受,tàn nhẫn,这样对待动物未免太残忍了。 // 现实总是那么残忍。,,FALSE
Bài 4,举世瞩目,#NAME?,全世界的人都在看着，引起了全球的注意,thu hút chủ ý,这个国家的经济成就举世瞩目。 // 这是一个举世瞩目的历史性事件。,,FALSE
Bài 4,子弹,#NAME?,从枪里面发射出来的铁头或金属弹,viên đạn,警方在现场发现了几颗子弹。 // 子弹擦着他的肩膀飞了过去。,,FALSE
Bài 4,窜,#NAME?,很快跑走， 混乱,tháo chạy,老鼠看到猫，吓得四处乱窜。 // 火苗迅速往上窜。,,FALSE
Bài 4,死亡,#NAME?,生命彻底结束，不再活着,chết,事故导致两人当场死亡。 // 我们要坦然面对死亡。,,FALSE
Bài 4,抵抗,#NAME?,不被他打就行,sức chống cự,面对强大的敌人，他们依然顽强抵抗。 // 身体的抵抗力现在很弱。,,FALSE
Bài 4,部位,#NAME?,不同的地方， 圣上某个地方,Phần,你哪个部位感觉疼痛？ // 需要仔细检查这个零件的各个部位。,,FALSE
Bài 4,缺口,#NAME?,zhiwu缺掉了一块，或者计划里的漏洞,lỗ hỏng,这个瓷碗上有一个小缺口。 // 管理体制中还存在着不少缺口。,,FALSE
Bài 4,锋利,#NAME?,刀、剑等工具非常快，或者说话非常厉害,Sắc,这把刀很锋利，用的时候要小心。 // 记者的提问非常锋利。,,FALSE
Bài 4,缠绕,#NAME?,绳子、线或者某种情绪紧紧地绕在上面,"bị vướng, quấn quanh",藤蔓紧紧缠绕在大树上。 // 这件事一直缠绕在我的心头，让我心烦。,,FALSE
Bài 4,俯视,#NAME?,从很高的地方往极低的地方看,Nhìn xuống,站在山顶俯视，风景美如画。 // 从飞机上俯视，城市灯火辉煌。,,FALSE
Bài 4,草案,#NAME?,刚开始写出来的、还没有最后定下来的计划或法律初稿,bản nháp,这份合同草案还需要修改。 // 对公司新方案的草案进行讨论。,,FALSE
Bài 4,偿还,#NAME?,把借别人的钱或者欠别人的恩情还给对方,trả lại,他花了五年时间才偿还完这笔债务。 // 这份恩情我不知该如何偿还。,,FALSE
Bài 4,畅通,#NAME?,道路、管道等非常顺畅，没有东西堵塞,Trơn tru,高峰期过后，道路交通恢复了畅通。 // 确保公司内部信息渠道畅通。,,FALSE
Bài 4,敌视,#NAME?,把对方当成敌人来看待，心里充满仇恨,sự thù địch,我们不应该敌视持有不同意见的人。 // 他那敌视的眼神让人害怕。,,FALSE
